;;;;;;;;;;;;;;;;;;;;;;;;;;
;;CATALOGO DE LIBROS DE LA FISI;;;;;;;;;;;;;;;;;;;;;;;;
;Nº;TITULO;AUTOR;CLASIFICACION;AÑO;;;;;;;;;;;;;;;;;;;;;
;570;Simulación y control de procesos por ordenador;Antonio Creus Sole;QA273.C85 ej. 5;2007;;;;;;;;;;;;;;;;;;;;;
;571;Simulación y control de procesos por ordenador;Antonio Creus Sole;QA273.C85 ej. 6;2007;;;;;;;;;;;;;;;;;;;;;
;572;Simulación y control de procesos por ordenador;Antonio Creus Sole;QA273.C85 ej. 7;2007;;;;;;;;;;;;;;;;;;;;;
;573;Simulación y control de procesos por ordenador;Antonio Creus Sole;QA273.C85 ej. 8;2007;;;;;;;;;;;;;;;;;;;;;
;574;Simulación y control de procesos por ordenador;Antonio Creus Sole;QA273.C85 ej. 9;2007;;;;;;;;;;;;;;;;;;;;;
;575;Probabilidad y estadistica aplicadas a la ingenieria;Douglas C. Montgomery;QA273.M84;2011;;;;;;;;;;;;;;;;;;;;;
;576;Probabilidad y estadistica aplicadas a la ingenieria;Douglas C. Montgomery;QA273.M84 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;577;Probabilidad y estadistica aplicadas a la ingenieria;Douglas C. Montgomery;QA273.M84 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;578;Probabilidad y estadistica aplicadas a la ingenieria;Douglas C. Montgomery;QA273.M84 ej. 4;2011;;;;;;;;;;;;;;;;;;;;;
;579;Probabilidad y estadistica aplicadas a la ingenieria;Douglas C. Montgomery;QA273.M84 ej. 5;2011;;;;;;;;;;;;;;;;;;;;;
;580;Probabilidad y estadistica aplicadas a la ingenieria;Douglas C. Montgomery;QA273.M84 ej. 6;2011;;;;;;;;;;;;;;;;;;;;;
;581;Probabilidad y estadistica aplicadas a la ingenieria;Douglas C. Montgomery;QA273.M84 ej. 7;2011;;;;;;;;;;;;;;;;;;;;;
;582;Estadistica descriptiva y calculo de probabilidades;Isabel Castillo Manrique;QA276.12.C34;2006;;;;;;;;;;;;;;;;;;;;;
;583;Estadistica descriptiva y calculo de probabilidades;Isabel Castillo Manrique;QA276.12.C34 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;584;Estadistica descriptiva y calculo de probabilidades;Isabel Castillo Manrique;QA276.12.C34 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;585;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79;2003;;;;;;;;;;;;;;;;;;;;;
;586;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 10;2003;;;;;;;;;;;;;;;;;;;;;
;587;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 2;2003;;;;;;;;;;;;;;;;;;;;;
;588;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 3;2003;RESTAURACION;;;;;;;;;;;;;;;;;;;;
;589;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 4;2003;;;;;;;;;;;;;;;;;;;;;
;590;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 5;2003;;;;;;;;;;;;;;;;;;;;;
;591;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 6;2003;;;;;;;;;;;;;;;;;;;;;
;592;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 7;2003;;;;;;;;;;;;;;;;;;;;;
;593;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 8;2003;;;;;;;;;;;;;;;;;;;;;
;594;Estadistica Descriptiva e inferencial;Manuel Cordova Zamora;QA276.12.C79 ej. 9;2003;;;;;;;;;;;;;;;;;;;;;
;595;Estadistica Aplicada;Manuel Cordova Zamora;QA276.12.C79A;2008;;;;;;;;;;;;;;;;;;;;;
;596;Estadistica Aplicada;Manuel Cordova Zamora;QA276.12.C79A ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;597;Estadistica Aplicada;Manuel Cordova Zamora;QA276.12.C79A ej. 3;2008;;;;;;;;;;;;;;;;;;;;;
;598;Estadistica Inferencia;Manuel Cordova Zamora;QA276.12.C79I;2006;;;;;;;;;;;;;;;;;;;;;
;599;Estadistica Inferencia;Manuel Cordova Zamora;QA276.12.C79I ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;600;Estadistica Inferencia;Manuel Cordova Zamora;QA276.12.C79I ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;601;Introduccion a la Probabilidad y estadistica;Mendenhall, Beaver, Beaver;QA276.12.M42;2010;;;;;;;;;;;;;;;;;;;;;
;602;Estadistica;Murray R. Spiegel;QA276.19.S75;2002;;;;;;;;;;;;;;;;;;;;;
;603;Estadistica;Murray R. Spiegel;QA276.19.S75 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;604;Estadistica;Murray R. Spiegel;QA276.19.S75 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;605;Estadistica;Murray R. Spiegel;QA276.19.S75 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;606;Estadistica;Murray R. Spiegel;QA276.19.S76;2009;;;;;;;;;;;;;;;;;;;;;
;607;Estadistica;Mario F. Triola;QA276.19.T81;2009;;;;;;;;;;;;;;;;;;;;;
;608;Estadistica;Mario F. Triola;QA276.19.T81 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;609;Estadistica;Mario F. Triola;QA276.19.T81 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;610;Estadistica;Mario F. Triola;QA276.19.T81 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;611;Estadistica;Mario F. Triola;QA276.19.T81 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;612;Inferencia Estadistica;Moises Lazaro C;QA276.2.L32;2007;;;;;;;;;;;;;;;;;;;;;
;613;Inferencia Estadistica;Moises Lazaro C;QA276.2.L32 ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;614;Inferencia Estadistica;Moises Lazaro C;QA276.2.L32 ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;615;SPSS17 Extraccion del conocimiento a partir del analisis de datos;Pablo Valderrey Sanz;QA276.V66;2010;;;;;;;;;;;;;;;;;;;;;
;616;SPSS17 Extraccion del conocimiento a partir del analisis de datos;Pablo Valderrey Sanz;QA276.V66 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;617;SPSS17 Extraccion del conocimiento a partir del analisis de datos;Pablo Valderrey Sanz;QA276.V66 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;618;SPSS17 Extraccion del conocimiento a partir del analisis de datos;Pablo Valderrey Sanz;QA276.V66 ej. 4;2010;;;;;;;;;;;;;;;;;;;;;
;619;MATLAB con aplicaciones a la ingenieria Fisica y Finanzas;David Baez Lopez;QA297.B15;2006;;;;;;;;;;;;;;;;;;;;;
;620;MATLAB con aplicaciones a la ingenieria Fisica y Finanzas;David Baez Lopez;QA297.B15 ;2012;;;;;;;;;;;;;;;;;;;;;
;621;MATLAB con aplicaciones a la ingenieria Fisica y Finanzas;David Baez Lopez;QA297.B15 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;622;MATLAB con aplicaciones a la ingenieria Fisica y Finanzas;David Baez Lopez;QA297.B15 ej. 3;2006;;;;;;;;;;;;;;;;;;;;;
;623;MATLAB con aplicaciones a la ingenieria Fisica y Finanzas;David Baez Lopez;QA297.B15 ej. 4;2006;;;;;;;;;;;;;;;;;;;;;
;624;MATLAB con aplicaciones a la ingenieria Fisica y Finanzas;David Baez Lopez;QA297.B15 ej. 5;2006;;;;;;;;;;;;;;;;;;;;;
;625;Analisis numérico;Richard L. Burden;QA297.B94;2002;;;;;;;;;;;;;;;;;;;;;
;626;Analisis numérico;Richard L. Burden;QA297.B94 ej. 2;2002;;;;;;;;;;;;;;;;;;;;;
;627;Analisis numérico;Richard L. Burden;QA297.B94 ej. 3;2002;;;;;;;;;;;;;;;;;;;;;
;628;SCILAB programacion y simulacion;Jose Luis Calvo Rolle;QA297.C17;2010;;;;;;;;;;;;;;;;;;;;;
;629;SCILAB programacion y simulacion;Jose Luis Calvo Rolle;QA297.C17 ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;630;SCILAB programacion y simulacion;Jose Luis Calvo Rolle;QA297.C17 ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;631;MATLAB una introduccion con ejemplos practicos;Amos Gilat;QA297.G45;2005;;;;;;;;;;;;;;;;;;;;;
;632;Metodos Numericos;Rafael Iriarte V. Balderrama;QA297.I69;2009;;;;;;;;;;;;;;;;;;;;;
;633;MATLAB y matematica computacional;Sagrario Lantaron Sanchez;QA297.L22;2012;;;;;;;;;;;;;;;;;;;;;
;634;Metodos Numericos con MATLAB;John H. Mathews;QA297.M28;2000;;;;;;;;;;;;;;;;;;;;;
;635;Metodos Numericos con MATLAB;John H. Mathews;QA297.M28 ej. 2;2000;;;;;;;;;;;;;;;;;;;;;
;636;Metodos Numericos con MATLAB;John H. Mathews;QA297.M28 ej. 3;2000;;;;;;;;;;;;;;;;;;;;;
;637;Introducción a C y a metodos numéricos;Hector Manuel Mora Escobar;QA297.M86;2004;;;;;;;;;;;;;;;;;;;;;
;638;Introducción a C y a metodos numéricos;Hector Manuel Mora Escobar;QA297.M86 ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;639;Introducción a C y a metodos numéricos;Hector Manuel Mora Escobar;QA297.M86 ej. 3;2004;;;;;;;;;;;;;;;;;;;;;
;640;Introducción a C y a metodos numéricos;Hector Manuel Mora Escobar;QA297.M86 ej. 4;2004;;;;;;;;;;;;;;;;;;;;;
;641;MATLAB for control engineers;Katsuhiko Ogata;QA297.O37;2008;;;;;;;;;;;;;;;;;;;;;
;642;R Lenguaje de programacion y analisis estadistico de datos;Cesar Perez;QA297.P44;2015;;;;;;;;;;;;;;;;;;;;;
;643;R Lenguaje de programacion y analisis estadistico de datos;Cesar Perez;HB171.5. M22;2015;;;;;;;;;;;;;;;;;;;;;
;644;R Lenguaje de programacion y analisis estadistico de datos;Cesar Perez;QA297.P44 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;645;R Lenguaje de programacion y analisis estadistico de datos;Cesar Perez;QA297.P44 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;646;R Lenguaje de programacion y analisis estadistico de datos;Cesar Perez;QA297.P44 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;647;Matemáticas Computacionales para ciencia, ingenieria y arte;Cesar Javier Piedra Vilchez;QA297.P54;2011;;;;;;;;;;;;;;;;;;;;;
;648;Matemáticas Computacionales para ciencia, ingenieria y arte;Cesar Javier Piedra Vilchez;QA297.P54 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;649;Problemas resueltos de Metodos Numericos;Alicia Cordero Barbero;QA297.P87;2006;;;;;;;;;;;;;;;;;;;;;
;650;Problemas resueltos de Metodos Numericos;Alicia Cordero Barbero;QA297.P87 ej. 2;2006;;;;;;;;;;;;;;;;;;;;;
;651;2D Gane Collision Detection;Thomas Schwarzl;QA297.S29;2012;;;;;;;;;;;;;;;;;;;;;
;652;Curso basico de programacion en MATLAB;Antonio J. Martín Sierra;QA297.S72;2014;;;;;;;;;;;;;;;;;;;;;
;653;Curso basico de programacion en MATLAB;Antonio J. Martín Sierra;QA297.S72 ej. 2;2014;;;;;;;;;;;;;;;;;;;;;
;654;Curso basico de programacion en MATLAB;Antonio J. Martín Sierra;QA297.S72 ej. 3;2014;;;;;;;;;;;;;;;;;;;;;
;655;Curso basico de programacion en MATLAB;Antonio J. Martín Sierra;QA297.S72 ej. 4;2014;;;;;;;;;;;;;;;;;;;;;
;656;Curso basico de programacion en MATLAB;Antonio J. Martín Sierra;QA297.S72 ej. 5;2014;;;;;;;;;;;;;;;;;;;;;
;657;Matrix Transforms for Computer Games and Animation;Jhon Vince;QA297.V71;2012;;;;;;;;;;;;;;;;;;;;;
;658;Analisis Matematico II;Moises Lazaro C;QA300.2.L32;2011;;;;;;;;;;;;;;;;;;;;;
;659;Analisis Matematico II;Moises Lazaro C;QA300.2.L32 ej. 2;2011;;;;;;;;;;;;;;;;;;;;;
;660;Analisis Matematico II;Moises Lazaro C;QA300.2.L32 ej. 3;2011;;;;;;;;;;;;;;;;;;;;;
;661;Analisis Matematico II;Moises Lazaro C;QA300.2.L32 ej. 4;2011;;;;;;;;;;;;;;;;;;;;;
;662;Analisis Matematico II;Moises Lazaro C;QA300.2.L32 ej. 5;2011;;;;;;;;;;;;;;;;;;;;;
;663;Analisis Matematico II;Moises Lazaro C;QA300.2.L32 ej. 6;2011;;;;;;;;;;;;;;;;;;;;;
;664;Analisis Matematico II;Moises Lazaro C;QA300.2.L32 ej. 7;2011;;;;;;;;;;;;;;;;;;;;;
;665;Analisis Matematico II;Moises Lazaro C;QA300.2.L32 ej. 8;2011;;;;;;;;;;;;;;;;;;;;;
;666;Analisis Matematico II;Moises Lazaro C;QA300.2.L32 ej. 9;2011;;;;;;;;;;;;;;;;;;;;;
;670;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32;2009;;;;;;;;;;;;;;;;;;;;;
;671;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;672;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;673;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;674;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;675;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32 ej. 6;2009;;;;;;;;;;;;;;;;;;;;;
;676;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32 ej. 7;2009;;;;;;;;;;;;;;;;;;;;;
;677;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32 ej. 8;2009;;;;;;;;;;;;;;;;;;;;;
;678;Analisis Matematico III Calculo Vectorial;Moises Lazaro C;QA300.3.L32 ej. 9;2009;;;;;;;;;;;;;;;;;;;;;
;679;Elementos de Analisis Funcional;Teofilo Abuabara, Jaime Lesmes C.;QA300.A16;2010;;;;;;;;;;;;;;;;;;;;;
;680;Analisis Matematico;Tom M. Apostol;QA300.A62;2009;;;;;;;;;;;;;;;;;;;;;
;681;Analisis Matematico;Tom M. Apostol;QA300.A62 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;682;Analisis Matematico;Tom M. Apostol;QA300.A62 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;683;Analisis Matematico;Tom M. Apostol;QA300.A62 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;684;Analisis Matematico;Tom M. Apostol;QA300.A62 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;685;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88;2008;;;;;;;;;;;;;;;;;;;;;
;686;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88 ;2009;;;;;;;;;;;;;;;;;;;;;
;687;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88 ;2012;;;;;;;;;;;;;;;;;;;;;
;688;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88 ej. 2;2008;;;;;;;;;;;;;;;;;;;;;
;689;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;690;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;691;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;692;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;693;Analisis Matematico I para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;694;Analisis Matematico I Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;695;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A;2004;;;;;;;;;;;;;;;;;;;;;
;696;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A;2012;;;;;;;;;;;;;;;;;;;;;
;697;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A ;2009;;;;;;;;;;;;;;;;;;;;;
;698;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A ;2009;;;;;;;;;;;;;;;;;;;;;
;699;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A  t. 1;2012;;;;;;;;;;;;;;;;;;;;;
;700;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A  t. 1 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;701;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A  t. 1 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;702;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A  t. 2 ;2012;;;;;;;;;;;;;;;;;;;;;
;703;Analisis Matematico II Para estudiantes de Ciencias e Ingenierias;Eduardo Espinoza Ramos;QA300.E88A ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;704;Analisis Matematico II para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88A t. 2 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;705;Analisis Matematico II para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88A t. 2 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;706;Analisis Matematico II para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88A t. 2 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;707;Analisis Matematico II para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88A t. 2 ej. 5;2012;;;;;;;;;;;;;;;;;;;;;
;708;Analisis Matematico II para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88A t. 2 ej. 6;2012;;;;;;;;;;;;;;;;;;;;;
;709;Analisis Matematico II para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88A t. 2 ej. 7;2012;;;;;;;;;;;;;;;;;;;;;
;710;Analisis Matematico III para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88T;2000;;;;;;;;;;;;;;;;;;;;;
;711;Analisis Matematico III para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88T;2000;;;;;;;;;;;;;;;;;;;;;
;712;Analisis Matematico III para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88T;2012;;;;;;;;;;;;;;;;;;;;;
;713;Analisis Matematico III para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88T ej. 2;2000;;;;;;;;;;;;;;;;;;;;;
;714;Analisis Matematico III para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88T ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;715;Analisis Matematico III para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88T ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;716;Analisis Matematico III para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88T ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;717;Analisis Matematico III para estudiantes de ciencias e ingenieria;Eduardo Espinoza Ramos;QA300.E88T ej. 5;2012;;;;;;;;;;;;;;;;;;;;;
;718;Analisis Matematico 1;R. Figueroa G;QA300.F51;2009;;;;;;;;;;;;;;;;;;;;;
;719;Analisis Matematico 1;R. Figueroa G;QA300.F51 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;720;Analisis Matematico 1;R. Figueroa G;QA300.F51 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;721;Analisis Matematico 1;R. Figueroa G;QA300.F51 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;722;Analisis Matematico 1;R. Figueroa G;QA300.F51 ej. 5;2009;;;;;;;;;;;;;;;;;;;;;
;723;Analisis Matematico 1;R. Figueroa G;QA300.F51 ej. 6;2009;;;;;;;;;;;;;;;;;;;;;
;724;Analisis Matematico 1;R. Figueroa G;QA300.F52;2017;;;;;;;;;;;;;;;;;;;;;
;725;Analisis Matematico 1;R. Figueroa G;QA300.F52 ej. 2;2017;;;;;;;;;;;;;;;;;;;;;
;726;Analisis Matematico 1;R. Figueroa G;QA300.F52 ej. 3;2017;;;;;;;;;;;;;;;;;;;;;
;727;Analisis Matematico 1;R. Figueroa G;QA300.F52 ej. 4;2017;;;;;;;;;;;;;;;;;;;;;
;728;Problemas y Ejercicios de Analisis Matematico Tomo 1;R. Figueroa G;QA300.F52S  t. 1;2013;;;;;;;;;;;;;;;;;;;;;
;729;Problemas y Ejercicios de Analisis Matematico Tomo 1;R. Figueroa G;QA300.F52S  t. 1 ej. 2;2013;;;;;;;;;;;;;;;;;;;;;
;730;Problemas y Ejercicios de Analisis Matematico Tomo 1;R. Figueroa G;QA300.F52S  t. 1 ej. 3;2013;;;;;;;;;;;;;;;;;;;;;
;731;Problemas y Ejercicios de Analisis Matematico Tomo 1;R. Figueroa G;QA300.F52S  t. 1 ej. 4;2013;;;;;;;;;;;;;;;;;;;;;
;732;Problemas y Ejercicios de Analisis Matematico Tomo 1;R. Figueroa G;QA300.F52S  t. 1 ej. 5;2013;;;;;;;;;;;;;;;;;;;;;
;733;Problemas y Ejercicios de Analisis Matematico Tomo 1;R. Figueroa G;QA300.F52S  t. 1 ej. 6;2013;;;;;;;;;;;;;;;;;;;;;
;734;Analisis Matemataico I Limites y continuidad. Puntos de acumulacion sucesiones limite continuidad;Moises Lazaro C;QA300.L32;2009;;;;;;;;;;;;;;;;;;;;;
;735;Analisis Matemataico I Limites y continuidad. Puntos de acumulacion sucesiones limite continuidad;Moises Lazaro C;QA300.L32 ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
;736;Analisis Matemataico I Limites y continuidad. Puntos de acumulacion sucesiones limite continuidad;Moises Lazaro C;QA300.L32 ej. 3;2009;;;;;;;;;;;;;;;;;;;;;
;737;Analisis Matematico I Calculo Vectorial;Moises Lazaro C;QA300.L32A;2017;;;;;;;;;;;;;;;;;;;;;
;738;Analisis Matematico I Calculo Vectorial;Moises Lazaro C;QA300.L32A ej. 2;2017;;;;;;;;;;;;;;;;;;;;;
;739;Analisis Matematico I Calculo Vectorial;Moises Lazaro C;QA300.L32A ej. 3;2017;;;;;;;;;;;;;;;;;;;;;
;740;Analisis Matematico I Calculo Vectorial;Moises Lazaro C;QA300.L32A ej. 4;2017;;;;;;;;;;;;;;;;;;;;;
;741;Introduccion al Analisis Matematico 3ra Edicion;J. Armando Venero B;QA300.V45 ;2015;;;;;;;;;;;;;;;;;;;;;
;742;Introduccion al Analisis Matematico 3ra Edicion;J. Armando Venero B;QA300.V45 ej. 2;2015;;;;;;;;;;;;;;;;;;;;;
;743;Introduccion al Analisis Matematico 2da Edicion;J. Armando Venero B;QA300.V45 ej. 3;2009;Ej. 1 y 2 - de baja;;;;;;;;;;;;;;;;;;;;
;744;Introduccion al Analisis Matematico 3ra Edicion;J. Armando Venero B;QA300.V45 ej. 3;2015;;;;;;;;;;;;;;;;;;;;;
;745;Introduccion al Analisis Matematico 2da Edicion;J. Armando Venero B;QA300.V45 ej. 4;2009;;;;;;;;;;;;;;;;;;;;;
;746;Introduccion al Analisis Matematico 3ra Edicion;J. Armando Venero B;QA300.V45 ej. 4;2015;;;;;;;;;;;;;;;;;;;;;
;747;Introduccion al Analisis Matematico 3ra Edicion;J. Armando Venero B;QA300.V45 ej. 5;2015;;;;;;;;;;;;;;;;;;;;;
;748;Introduccion al Analisis Matematico 3ra Edicion;J. Armando Venero B;QA300.V45 ej. 6;2015;;;;;;;;;;;;;;;;;;;;;
;749;Analisis Matematico 1;J. Armando Venero B;QA300.V45A;2007;;;;;;;;;;;;;;;;;;;;;
;750;Analisis Matematico 1,  2da Edicion;J. Armando Venero B;QA300.V45A ;2010;;;;;;;;;;;;;;;;;;;;;
;751;Analisis Matematico 1;J. Armando Venero B;QA300.V45A ej. 2;2007;;;;;;;;;;;;;;;;;;;;;
;752;Analisis Matematico 1,  2da Edicion;J. Armando Venero B;QA300.V45A ej. 2;2010;;;;;;;;;;;;;;;;;;;;;
;753;Analisis Matematico 1;J. Armando Venero B;QA300.V45A ej. 3;2007;;;;;;;;;;;;;;;;;;;;;
;754;Analisis Matematico 1,  2da Edicion;J. Armando Venero B;QA300.V45A ej. 3;2010;;;;;;;;;;;;;;;;;;;;;
;755;CALCULO 1 con Aplicaciones;Aymituma Puma Gavino;QA303.1.P96;2017;;;;;;;;;;;;;;;;;;;;;
;756;CALCULO 1 con Aplicaciones;Aymituma Puma Gavino;QA303.1.P96 ej. 2;2017;;;;;;;;;;;;;;;;;;;;;
;757;CALCULO 1 con Aplicaciones;Aymituma Puma Gavino;QA303.1.P96 ej. 3;2017;;;;;;;;;;;;;;;;;;;;;
;758;Calculo diferencial e integral y matematica basica: sus aplicaciones;Abel Arce Carrasco;QA303.A68 V.1;2012;;;;;;;;;;;;;;;;;;;;;
;759;Calculo diferencial e integral y matematica basica: sus aplicaciones;Abel Arce Carrasco;QA303.A68 V.1 ej. 2;2012;;;;;;;;;;;;;;;;;;;;;
;760;Calculo diferencial e integral y matematica basica: sus aplicaciones;Abel Arce Carrasco;QA303.A68 V.1 ej. 3;2012;;;;;;;;;;;;;;;;;;;;;
;761;Calculo diferencial e integral y matematica basica: sus aplicaciones;Abel Arce Carrasco;QA303.A68 V.1 ej. 4;2012;;;;;;;;;;;;;;;;;;;;;
;762;Calculo diferencial e integral y matematica basica: sus aplicaciones;Abel Arce Carrasco;QA303.A68 V.1 ej. 5;2012;;;;;;;;;;;;;;;;;;;;;
;763;Calculo diferencial e integral de una funciones de una variable;Lord Livin Barrera Bocanegra;QA303.B23;2013;;;;;;;;;;;;;;;;;;;;;
;764;Calculo de varias variables Con aplicaciones;Lord Livin Barrera Bocanegra;QA303.B23A;2014;;;;;;;;;;;;;;;;;;;;;
;765;Aprendiendo Calculo Diferencial e Integral con Excel;Gustavo Fabian Zorzoli;QA303.C18;2004;;;;;;;;;;;;;;;;;;;;;
;766;Aprendiendo Calculo Diferencial e Integral con Excel;Gustavo Fabian Zorzoli;QA303.C18  ej. 2;2004;;;;;;;;;;;;;;;;;;;;;
;768;"Topicos de Calculo de Probabilidades 
Parte: IV ";Moises Lazaro C;QA303.L32  V. ej. 2;2009;;;;;;;;;;;;;;;;;;;;;
